Wave                                                        ,Week                                                        ,Reps x Sets                                                 ,Bench (lbs)                                                 ,Squat (lbs)                                                 ,Deadlift (lbs)                                              
10s            ,,,,,
10s            ,Week 1,10 x 4         ,145            ,155            ,195            
10s            ,Week 2,10 x 3         ,175            ,185            ,225            
10s            ,Week 3,60% x 3 reps   ,145            ,155            ,195            
10s            ,Week 3,70% x 1 reps   ,175            ,185            ,225            
10s            ,Week 3,75% x 10 reps  ,185            ,195            ,235            
10s            ,Week 4,5 x 3          ,125            ,125            ,155            
,,,,,
8s             ,,,,,
8s             ,Week 1,8 x 4          ,145            ,155            ,195            
8s             ,Week 2,8 x 3          ,185            ,195            ,235            
8s             ,Week 3,60% x 3 reps   ,145            ,155            ,195            
8s             ,Week 3,75% x 1 reps   ,185            ,195            ,235            
8s             ,Week 3,80% x 8 reps   ,195            ,205            ,255            
8s             ,Week 4,5 x 3          ,125            ,125            ,155            
,,,,,
5s             ,,,,,
5s             ,Week 1,5 x 5          ,175            ,185            ,225            
5s             ,Week 2,5 x 3          ,185            ,195            ,235            
5s             ,Week 3,70% x 2 reps   ,175            ,185            ,225            
5s             ,Week 3,75% x 2 reps   ,185            ,195            ,235            
5s             ,Week 3,80% x 1 reps   ,195            ,205            ,255            
5s             ,Week 3,85% x 5 reps   ,205            ,225            ,275            
5s             ,Week 4,5 x 3          ,125            ,125            ,155            
,,,,,
3s             ,,,,,
3s             ,Week 1,3 x 6          ,185            ,195            ,235            
3s             ,Week 2,3 x 3          ,195            ,205            ,255            
3s             ,Week 3,75% x 1 reps   ,185            ,195            ,235            
3s             ,Week 3,80% x 1 reps   ,195            ,205            ,255            
3s             ,Week 3,85% x 1 reps   ,205            ,225            ,275            
3s             ,Week 3,90% x 3 reps   ,225            ,235            ,285            
3s             ,Week 4,5 x 3          ,125            ,125            ,155            
,,,,,
